# sent_id = aa_000
# text = T'ad faagail bee ec oaieyn ny merriu.
1-2	T'ad	_	_	_	_	_	_	_	
12	dy	dy	PART	_	_	13	mark	_	go raibh
13	row	bee	VERB	_	Mood=Ind|Tense=Past	11	acl	_	
14	Cashtal	cashtal	NOUN	_	_	13	nsubj	_	Caisleán
15	Phurt	purt	NOUN	_	_	14	nmod	_	Phort
16	ny	ny	DET	_	_	17	det	_	na
17	h-Inshey	innis	NOUN	_	_	15	nmod	_	hInse
18	troggit	troggit	ADJ	_	_	13	xcomp:pred	_	tógtha
19	er	er	ADP	_	_	20	case	_	ar
20	boayl	boayl	NOUN	_	_	18	obl	_	ball
21	mannishter	mannishter	NOUN	_	_	20	nmod	_	mainistir
22	Cheltiagh	Celtiagh	ADJ	_	_	21	amod	_	Cheilteach
23	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_215
# text = Cha jinnagh peiagh erbee feddyn magh my-e-chione.
1	Cha	cha	PART	_	_	2	mark	_	Ní
2	jinnagh	jean	VERB	_	Mood=Cnd	0	root	_	dhéanfadh
3	peiagh	peiagh	NOUN	_	_	2	nsubj	_	duine
4	erbee	erbee	ADJ	_	_	3	amod	_	ar bith
5	feddyn	feddyn	NOUN	_	_	2	xcomp	_	fáil amach
6	magh	magh	ADV	_	_	5	advmod	_	
7-9	my-e-chione	_	_	_	_	_	_	_	
7	my	my	ADP	_	_	9	case	_	faoi
8	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	9	nmod:poss	_	
9	chione	kione	NOUN	_	_	5	obl	_	
10	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_216
# text = T'ee soit ayns jiass ny çheerey.
1-2	T'ee	_	_	_	_	_	_	_	
1	T'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá sí
2	ee	ee	PRON	_	_	1	nsubj	_	
3	soit	soit	ADJ	_	_	1	xcomp:pred	_	suite
4	ayns	ayns	ADP	_	_	5	case	_	i
5	jiass	jiass	NOUN	_	_	3	obl	_	ndeisceart
6	ny	ny	DET	_	_	7	det	_	na
7	çheerey	çheer	NOUN	_	_	5	nmod	_	tíre
8	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_217
# text = As nee oo cooinaghtyn dy r'ou hene ayns bondiaght ayns cheer Egypt, as dy ren y Chiarn dty Yee dty livrey: shen-y-fa ta mee coyrt yn red shoh er dty churrym jiu.
# text_ga = Cuimhnigh air go raibh tú féin i do dhaor i dtír na hÉigipte agus gur fhuascail an Tiarna do Dhia thú; uime sin a ordaím é seo duit inniu.
# text_en = And thou shalt remember that thou wast a bondman in the land of Egypt, and the LORD thy God redeemed thee: therefore I command thee this thing to day.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	déanfaidh
3	oo	oo	PRON	_	_	2	nsubj	_	tú
4	cooinaghtyn	cooinaghtyn	NOUN	_	_	2	obj	_	cuimhneamh
5	dy	dy	PART	_	_	6	mark	_	go
6-7	r'ou	_	_	_	_	_	_	_	
6	r'	bee	VERB	_	Mood=Ind|Tense=Past	2	ccomp	_	raibh tú
7	ou	ou	PRON	_	_	6	nsubj	_	
8	hene	hene	PRON	_	_	7	nmod	_	féin
9	ayns	ayns	ADP	_	_	10	case	_	i
10	bondiaght	bondiaght	NOUN	_	_	6	xcomp:pred	_	daoirse
11	ayns	ayns	ADP	_	_	12	case	_	i dtír
12	cheer	cheer	NOUN	_	_	10	nmod	_	
13	Egypt	Egypt	PROPN	_	_	12	nmod	_	Na hÉigipte
14	,	,	PUNCT	_	_	17	punct	_	,
15	as	as	CCONJ	_	_	17	cc	_	agus
16	dy	dy	PART	_	_	17	mark	_	go ndearna
17	ren	jean	VERB	_	Mood=Ind|Tense=Past	6	conj	_	
18	y	yn	DET	_	_	19	det	_	an
19	Chiarn	chiarn	NOUN	_	_	17	nsubj	_	Tiarna
20	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	21	nmod:poss	_	do
21	Yee	Jee	PROPN	_	_	19	appos	_	Dhia
22	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	23	nmod:poss	_	do
23	livrey	livrey	NOUN	_	_	17	obj	_	sheachadadh
24	:	:	PUNCT	_	_	25	punct	_	:
25-27	shen-y-fa	_	_	_	_	_	_	_	
25	shen	shen	PRON	_	_	2	parataxis	_	dá bhrí sin
26	y	yn	DET	_	_	27	det	_	
27	fa	fa	NOUN	_	_	25	nsubj	_	
28	ta	bee	VERB	_	Mood=Ind|Tense=Pres	27	acl	_	tá
29	mee	mee	PRON	_	_	28	nsubj	_	mé
30	coyrt	coyrt	NOUN	_	_	28	xcomp	_	cur
31	yn	yn	DET	_	_	32	det	_	an
32	red	red	NOUN	_	_	30	obj	_	rud
33	shoh	shoh	DET	_	_	32	det	_	seo
34	er	er	ADP	_	_	36	case	_	ar do
35	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	36	nmod:poss	_	
36	churrym	currym	NOUN	_	_	30	obl	_	chúram
37	jiu	jiu	ADV	_	_	28	advmod	_	inniu
38	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_218
# text = Nee oo mish y ghlenney lesh hyssop, as bee'm glen: nee oo m'y niee, as bee'm ny s'gilley na sniaghtey.
# text_ga = Croith orm híosóip agus glanfar mé; nigh mé agus is gile mé ná an sneachta.
# text_en = Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow.
1	Nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	Déanfaidh
2	oo	oo	PRON	_	_	1	nsubj	_	tú
3	mish	mee	PRON	_	_	5	obj	_	mise
4	y	y	ADP	_	_	5	mark	_	a
5	ghlenney	glenney	NOUN	_	_	1	xcomp	_	ghlanadh
6	lesh	lesh	ADP	_	_	7	case	_	le
7	hyssop	hyssop	NOUN	_	_	5	obl	_	íosóipe
8	,	,	PUNCT	_	_	10	punct	_	,
9	as	as	CCONJ	_	_	10	cc	_	agus
10	bee'm	bee	VERB	_	Mood=Ind|Number=Sing|Person=1|Tense=Fut	1	conj	_	beidh mé
11	glen	glen	ADJ	_	_	10	xcomp:pred	_	glan
12	:	:	PUNCT	_	_	13	punct	_	:
13	nee	jean	VERB	_	Mood=Ind|Tense=Fut	1	parataxis	_	an
14	oo	oo	PRON	_	_	13	nsubj	_	tú
15-16	m'y	_	_	_	_	_	_	_	
15	m'	mee	PRON	_	_	17	obj	_	mo
16	y	y	ADP	_	_	17	mark	_	
17	niee	niee	NOUN	_	_	13	xcomp	_	ní
18	,	,	PUNCT	_	_	20	punct	_	,
19	as	as	CCONJ	_	_	20	cc	_	agus
20	bee'm	bee	VERB	_	Mood=Ind|Number=Sing|Person=1|Tense=Fut	13	conj	_	beidh
21	ny	ny	PART	_	_	22	mark	_	níos gile
22	s'gilley	gial	ADJ	_	_	20	xcomp:pred	_	_	
23	na	na	ADP	_	_	24	case	_	ná
24	sniaghtey	sniaghtey	NOUN	_	_	22	obl	_	sneachta
25	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_219
# text = As tra v'ad er ghoaill arrane-moyllee hie ad magh gys cronk ny Oliveyn.
# text_ga = Tar éis dóibh an t-iomann a chanadh, chuaigh siad amach go Cnoc na nOlóg.
# text_en = And when they had sung an hymn, they went out into the mount of Olives.
1	As	as	CCONJ	_	_	3	cc	_	Agus
2	tra	tra	SCONJ	_	_	3	mark	_	nuair a
3-4	v'ad	_	_	_	_	_	_	_	
3	v'	bee	VERB	_	Mood=Ind|Tense=Past	8	advcl	_	bhí siad
4	ad	ad	PRON	_	_	3	nsubj	_	
5	er	er	ADP	_	_	6	case	_	tar éis gabháil
6	ghoaill	goaill	NOUN	_	_	3	xcomp	_	
7	arrane-moyllee	arrane-moyllee	NOUN	_	_	6	obj	_	laoi
8	hie	gow	VERB	_	Mood=Ind|Tense=Past	0	root	_	chuadar
9	ad	ad	PRON	_	_	8	nsubj	_	
10	magh	magh	ADV	_	_	8	advmod	_	amach
11	gys	gys	ADP	_	_	12	case	_	go
12	cronk	cronk	NOUN	_	_	8	obl	_	cnoc
13	ny	ny	DET	_	_	14	det	_	na
14	Oliveyn	olive	NOUN	_	_	12	nmod	_	Ológa
15	.	.	PUNCT	_	_	8	punct	_	.

# sent_id = aa_220
# text = Myr shoh ta shin feme yn aa-hickyrys shen; ta shin feme jannoo shickyr dy bee Chellinsh Vannin as colughtyn chellinsh elley ayns shen 'sy traa ry heet, er-yn-oyr dy vel wheesh argid er ve baiht trooid ny bleeantyn.
1	Myr	myr	ADP	_	_	3	advmod	_	Mar seo atá
2	shoh	shoh	PRON	_	_	1	fixed	_	
3	ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	
4	shin	shin	PRON	_	_	3	nsubj	_	muid
5	feme	feme	NOUN	_	_	3	xcomp	_	ag teastáil
6	yn	yn	DET	_	_	7	det	_	an
7	aa-hickyrys	aa-hickyrys	NOUN	_	_	5	obj	_	aa-hickyrys
8	shen	shen	DET	_	_	7	det	_	sin
9	;	;	PUNCT	_	_	10	punct	_	;
10	ta	bee	VERB	_	Mood=Ind|Tense=Pres	3	parataxis	_	táimid
11	shin	shin	PRON	_	_	10	nsubj	_	
12	feme	feme	NOUN	_	_	10	xcomp	_	ag teastáil
13	jannoo	jannoo	NOUN	_	_	12	xcomp	_	ag déanamh
14	shickyr	shickyr	ADJ	_	_	13	xcomp	_	cinnte
15	dy	dy	PART	_	_	16	mark	_	go
16	bee	bee	VERB	_	Mood=Ind|Tense=Fut	13	ccomp	_	mbeidh
17	Chellinsh	chellinsh	NOUN	_	_	16	nsubj	_	Teileachumarsáid
18	Vannin	Mannin	PROPN	_	_	17	nmod	_	Mhanann
19	as	as	CCONJ	_	_	20	cc	_	agus
20	colughtyn	colught	NOUN	_	_	17	conj	_	comhlachtaí
21	chellinsh	chellinsh	NOUN	_	_	20	nmod	_	teileachumarsáide
22	elley	elley	ADJ	_	_	20	amod	_	eile
23	ayns	ayns	ADP	_	_	24	case	_	ansin
24	shen	shen	PRON	_	_	16	xcomp:pred	_	
25-26	'sy	_	_	_	_	_	_	_	
25	ayns	ayns	ADP	_	_	27	case	_	san
26	yn	yn	DET	_	_	27	det	_	
27	traa	traa	NOUN	_	_	16	obl	_	am
28	ry	ry	ADP	_	_	29	case	_	le teacht
29	heet	çheet	NOUN	_	_	27	nmod	_	
30	,	,	PUNCT	_	_	33	punct	_	,
31-33	er-yn-oyr	_	_	_	_	_	_	_	
31	er	er	ADP	_	_	33	case	_	de bhrí
32	yn	yn	DET	_	_	33	det	_	
33	oyr	oyr	NOUN	_	_	10	obl	_	
34	dy	dy	PART	_	_	35	mark	_	go bhfuil
35	vel	bee	VERB	_	Mood=Ind|Tense=Pres	33	acl	_	
36	wheesh	wheesh	NOUN	_	_	35	nsubj	_	an oiread
37	argid	argid	NOUN	_	_	36	nmod	_	airgid
38	er	er	ADP	_	_	39	case	_	tar éis a bheith
39	ve	ve	NOUN	_	_	35	xcomp	_	
40	baiht	baiht	ADJ	_	_	39	xcomp:pred	_	báite
41	trooid	trooid	ADP	_	_	43	case	_	trí
42	ny	ny	DET	_	_	43	det	_	na
43	bleeantyn	blein	NOUN	_	_	35	obl	_	blianta
44	.	.	PUNCT	_	_	3	punct	_	.

# sent_id = aa_221
# text = T'ee cummal ayns ynnydyn çheh, agh t'ee garraghey veih'n Affrick Hwoaie dys ny h-Ellanyn Goaldagh 'sy touree.
1-2	T'ee	_	_	_	_	_	_	_	
1	T'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá sí
2	ee	ee	PRON	_	_	1	nsubj	_	
3	cummal	cummal	NOUN	_	_	1	xcomp	_	ina cónaí
4	ayns	ayns	ADP	_	_	5	case	_	in
5	ynnydyn	ynnyd	NOUN	_	_	3	obl	_	ionaid
6	çheh	çheh	ADJ	_	_	5	amod	_	te
7	,	,	PUNCT	_	_	9	punct	_	,
8	agh	agh	CCONJ	_	_	9	cc	_	ach
9-10	t'ee	_	_	_	_	_	_	_	
9	t'	bee	VERB	_	Mood=Ind|Tense=Pres	1	conj	_	tá sí
10	ee	ee	PRON	_	_	9	nsubj	_	
11	garraghey	karraghey	NOUN	_	_	9	xcomp	_	ag aistriú
12-13	veih'n	_	_	_	_	_	_	_	
12	veih	veih	ADP	_	_	14	case	_	ón
13	yn	yn	DET	_	_	14	det	_	
14	Affrick	Affrick	PROPN	_	_	11	obl	_	Afraic
15	Hwoaie	twoaie	ADJ	_	_	14	amod	_	Thuaidh
16	dys	dys	ADP	_	_	18	case	_	go dtí
17	ny	ny	DET	_	_	18	det	_	na
18	h-Ellanyn	ellan	NOUN	_	_	11	obl	_	hOileáin
19	Goaldagh	Goaldagh	ADJ	_	_	18	amod	_	Briotanach
20-21	'sy	_	_	_	_	_	_	_	
20	ayns	ayns	ADP	_	_	22	case	_	sa
21	yn	yn	DET	_	_	22	det	_	
22	touree	sourey	NOUN	_	_	11	obl:tmod	_	tsamhraidh
23	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_222
# text = "Yiarrins dy vel oo smooinaghtyn cre'n fa nagh vel mee cur my roih mygeayrt dty vouin," dooyrt y Vendiuic, lurg sthap: "she yn oyr er shen dy vel drogh-ourys aym er tappey dty lossyrane.
# text_ga = "Is dócha gur ag fiafraí díot féin atá tú cén fáth nár chuir mé mo lámh i do thimpeall," arsa an Bandiúc tar éis scaithimh, "Is é an fáth atá leis go bhfuil amhras orm faoi mheon an lasairéin sin agatsa.
# text_en = “I dare say you’re wondering why I don’t put my arm round your waist,” the Duchess said after a pause: “the reason is, that I’m doubtful about the temper of your flamingo.
1	"	"	PUNCT	_	_	2	punct	_	"
2	Yiarrins	abbyr	VERB	_	Mood=Cnd|Number=Sing|Person=1	0	root	_	Déarfainnse
3	dy	dy	PART	_	_	4	mark	_	go bhfuil
4	vel	bee	VERB	_	Mood=Ind|Tense=Pres	2	ccomp	_	
5	oo	oo	PRON	_	_	4	nsubj	_	tú
6	smooinaghtyn	smooinaghtyn	NOUN	_	_	4	xcomp	_	ag smaoineamh
7-8	cre'n	_	_	_	_	_	_	_	
7	cre	cre	PRON	_	_	6	ccomp	_	cén fáth
8	'n	yn	DET	_	_	9	det	_	
9	fa	fa	NOUN	_	_	7	nsubj	_	
10	nagh	nagh	PART	_	_	11	mark	_	nach bhfuil
11	vel	bee	VERB	_	Mood=Ind|Tense=Pres	9	acl	_	
12	mee	mee	PRON	_	_	11	nsubj	_	mé
13	cur	cur	NOUN	_	_	11	xcomp	_	ag cur
14	my	my	DET	_	Number=Sing|Person=1|Poss=Yes	15	nmod:poss	_	mo
15	roih	roih	NOUN	_	_	13	obj	_	láimhe
16	mygeayrt	mygeayrt	ADP	_	_	18	case	_	timpeall
17	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	18	nmod:poss	_	do
18	vouin	bouin	NOUN	_	_	13	obl	_	bhásta
19	,	,	PUNCT	_	_	2	punct	_	,
20	"	"	PUNCT	_	_	2	punct	_	"
21	dooyrt	abbyr	VERB	_	Mood=Ind|Tense=Past	2	parataxis	_	a dúirt
22	y	yn	DET	_	_	23	det	_	an
23	Vendiuic	bendiuic	NOUN	_	_	21	nsubj	_	Bhandiúc
24	,	,	PUNCT	_	_	26	punct	_	,
25	lurg	lurg	ADP	_	_	26	case	_	i ndiaidh
26	sthap	sthap	NOUN	_	_	21	obl	_	stad
27	:	:	PUNCT	_	_	29	punct	_	:
